Consumption
ConsID	MeterID	InvoiceID	DateFrom	DateTo	IntervalTime	BegRead	EndRead	SeqNo	Status	Note	Type	ReadingMth	Source	SourceID	RequestID	Processed	ProcessDate	DoNotProcess	DNPCode	FinalFlag	IsBeginReadLDCEstimate	IsEndReadLDCEstimate	CreateDate	CreatedByID	migr_bill_batch_id	Migr_acct_no	migr_service_Id	migr_division_code	migr_meter_number	LastModifiedDate	ModifiedByID	ValidatedFlag	ValidatedDate	ThermFactor	DocumentDueDate	BillingTypeID
26584	15438	45458	2015-02-09 00:00:00.000	2015-03-10 00:00:00.000	NULL	2762.0000	2875.0000	NULL	1 	NULL	Cons	NULL	NonIntervalDetail	290847	116206	Y	2015-03-11 23:46:44.403	NULL	NULL	0	0	0	2015-03-11 06:16:46.723	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	0
33320	15438	52450	2015-03-10 00:00:00.000	2015-04-09 00:00:00.000	NULL	2875.0000	2935.0000	NULL	1 	NULL	Cons	NULL	NonIntervalDetail	322312	141221	Y	2015-04-11 01:05:34.873	NULL	NULL	0	0	0	2015-04-10 06:19:22.120	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	0
40561	15438	59779	2015-04-09 00:00:00.000	2015-05-08 00:00:00.000	NULL	2935.0000	2960.0000	NULL	1 	NULL	Cons	NULL	NonIntervalDetail	346091	167314	Y	2015-05-11 01:02:54.627	NULL	NULL	0	0	0	2015-05-09 06:20:00.837	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	0
48431	15438	67586	2015-05-08 00:00:00.000	2015-06-09 00:00:00.000	NULL	2960.0000	2972.0000	NULL	1 	NULL	Cons	NULL	NonIntervalDetail	375622	195423	Y	2015-06-10 08:28:04.517	NULL	NULL	0	0	0	2015-06-10 06:23:08.743	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	2015-06-10 08:25:14.060	NULL	NULL	0
56681	15438	76145	2015-06-09 00:00:00.000	2015-07-09 00:00:00.000	NULL	2972.0000	2977.0000	NULL	1 	NULL	Cons	NULL	NonIntervalDetail	401220	223999	Y	2015-07-13 01:08:15.780	NULL	NULL	0	0	0	2015-07-10 06:23:35.447	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	0
65728	15438	84688	2015-07-09 00:00:00.000	2015-08-07 00:00:00.000	NULL	2977.0000	2983.0000	NULL	1 	NULL	Cons	NULL	NonIntervalDetail	426803	254531	Y	2015-08-10 01:08:29.630	NULL	NULL	0	0	0	2015-08-08 06:20:42.720	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	0
75641	15438	94288	2015-08-07 00:00:00.000	2015-09-08 00:00:00.000	NULL	2983.0000	2988.0000	NULL	1 	NULL	Cons	NULL	NonIntervalDetail	451782	287037	Y	2015-09-10 01:03:57.140	NULL	NULL	0	0	0	2015-09-09 08:35:38.847	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	0
85594	15438	104275	2015-09-08 00:00:00.000	2015-10-07 00:00:00.000	NULL	2988.0000	2996.0000	NULL	1 	NULL	Cons	NULL	NonIntervalDetail	475952	328900	Y	2015-10-09 01:04:30.610	NULL	NULL	0	0	0	2015-10-08 08:29:14.180	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	0
95583	15438	114082	2015-10-07 00:00:00.000	2015-11-05 00:00:00.000	NULL	2996.0000	3016.0000	NULL	1 	NULL	Cons	NULL	NonIntervalDetail	505356	363501	Y	2015-11-06 01:04:46.937	NULL	NULL	0	0	0	2015-11-05 23:54:37.190	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	0	NULL	NULL	NULL	0
105605	15438	127598	2015-11-05 00:00:00.000	2015-12-08 00:00:00.000	NULL	3016.0000	3068.0000	NULL	1 	NULL	Cons	NULL	NonIntervalDetail	542101	400416	Y	2015-12-10 09:41:33.483	NULL	NULL	0	0	0	2015-12-08 23:47:06.977	0	NULL	NULL	NULL	NULL	NULL	NULL	NULL	1	2015-12-09 00:49:49.203	NULL	NULL	0
