Invoice
InvoiceID	CustID	AcctsRecHistID	ParentInvoiceID	InvLogID	RateID	RevenuePeriod	Type	BasePeriod	CustCode	InvAmt	TotalDetailAmount	InvDate	PrintDate	PostDate	DueDate	ServiceFrom	ServiceTo	UserID	PaymentPlanFlag	FinalFlag	BillingTypeID	ReferenceInvoiceNo	TDSPTemplateID	BillCycle	EventCleared	PaidDate	migr_bill_batch_id	Migr_acct_no	migr_service_Id	SpecialInvoiceTypeId	DeliveryDate	DeliveryStatus	DeliveryComment
45458	19981	50852	NULL	35459	10018	NULL	NULL	201503	00	72.60	72.60	2015-03-11 00:00:00.000	NULL	2015-03-11 23:46:44.387	2015-03-27 00:00:00.000	2015-02-09 00:00:00.000	2015-03-10 00:00:00.000	NULL	0	0	3	12383860001020150311	1	309101	NULL	NULL	NULL	NULL	NULL	0	2015-03-12 09:42:51.353	0	Initial
52450	19981	64259	NULL	42451	10018	NULL	NULL	201504	00	38.55	38.55	2015-04-10 00:00:00.000	NULL	2015-04-11 01:05:34.857	2015-04-26 00:00:00.000	2015-03-10 00:00:00.000	2015-04-09 00:00:00.000	NULL	0	0	3	12383860001020150410	1	309101	NULL	NULL	NULL	NULL	NULL	0	2015-04-13 06:02:42.123	0	Initial
59779	19981	78760	NULL	49780	10018	NULL	NULL	201505	00	16.07	16.07	2015-05-09 00:00:00.000	NULL	2015-05-11 01:02:54.643	2015-05-25 00:00:00.000	2015-04-09 00:00:00.000	2015-05-08 00:00:00.000	NULL	0	0	3	12383860001020150509	1	309101	NULL	NULL	NULL	NULL	NULL	0	2015-05-11 06:45:11.517	1	DND batch delivey
67586	19981	93988	NULL	57587	10018	NULL	NULL	201506	00	7.71	7.71	2015-06-10 00:00:00.000	NULL	2015-06-10 08:28:04.443	2015-06-26 00:00:00.000	2015-05-08 00:00:00.000	2015-06-09 00:00:00.000	469	0	0	3	12383860001020150610	1	309101	NULL	NULL	NULL	NULL	NULL	0	2015-06-10 09:27:25.050	1	DND batch delivey
76145	19981	111226	NULL	66146	10018	NULL	NULL	201507	00	3.22	3.22	2015-07-10 00:00:00.000	NULL	2015-07-13 01:08:15.870	2015-07-27 00:00:00.000	2015-06-09 00:00:00.000	2015-07-09 00:00:00.000	NULL	0	0	3	12383860001020150710	1	309101	NULL	NULL	NULL	NULL	NULL	0	2015-07-13 05:10:36.767	1	DND batch delivey
84688	19981	128206	NULL	74689	10018	NULL	NULL	201508	00	3.85	3.85	2015-08-08 00:00:00.000	NULL	2015-08-10 01:08:29.620	2015-08-24 00:00:00.000	2015-07-09 00:00:00.000	2015-08-07 00:00:00.000	NULL	0	0	3	12383860001020150808	1	309101	NULL	NULL	NULL	NULL	NULL	0	2015-08-10 05:27:47.920	1	DND batch delivey
94288	19981	147511	NULL	84289	10018	NULL	NULL	201509	00	3.22	3.22	2015-09-09 00:00:00.000	NULL	2015-09-10 01:03:57.167	2015-09-25 00:00:00.000	2015-08-07 00:00:00.000	2015-09-08 00:00:00.000	NULL	0	0	3	12383860001020150909	1	309101	NULL	NULL	NULL	NULL	NULL	0	2015-09-10 03:57:22.153	1	DND batch delivey
104275	19981	167107	NULL	94276	10018	NULL	NULL	201510	00	5.14	5.14	2015-10-08 00:00:00.000	NULL	2015-10-09 01:04:10.613	2015-10-26 00:00:00.000	2015-09-08 00:00:00.000	2015-10-07 00:00:00.000	NULL	0	0	3	12383860001020151008	1	309101	NULL	NULL	NULL	NULL	NULL	0	2015-10-09 04:49:06.457	1	DND batch delivey
114082	19981	186175	NULL	104083	10018	NULL	NULL	201511	00	12.85	12.85	2015-11-06 00:00:00.000	NULL	2015-11-06 01:04:47.670	2015-11-23 00:00:00.000	2015-10-07 00:00:00.000	2015-11-05 00:00:00.000	NULL	0	0	3	12383860001020151106	1	309101	NULL	NULL	NULL	NULL	NULL	0	2015-11-06 02:00:38.677	1	DND batch delivey
127598	19981	210133	NULL	117599	10018	NULL	NULL	201512	00	33.41	33.41	2015-12-09 00:00:00.000	NULL	2015-12-10 09:41:33.447	2015-12-28 00:00:00.000	2015-11-05 00:00:00.000	2015-12-08 00:00:00.000	NULL	0	0	3	12383860001020151209	1	309101	NULL	NULL	NULL	NULL	NULL	0	2015-12-10 09:48:56.453	1	DND batch delivey
138435	19981	231904	NULL	128436	10018	NULL	NULL	201601	00	47.54	47.54	2016-01-12 00:00:00.000	NULL	2016-01-13 00:10:31.073	2016-01-28 00:00:00.000	2015-12-08 00:00:00.000	2016-01-11 00:00:00.000	NULL	0	0	3	12383860001020160112	1	309101	NULL	NULL	NULL	NULL	NULL	0	2016-01-13 00:47:24.107	1	DND batch delivey
153140	19981	255023	NULL	143141	10018	NULL	NULL	201602	00	57.17	57.17	2016-02-10 00:00:00.000	NULL	2016-02-11 00:10:57.070	2016-02-26 00:00:00.000	2016-01-11 00:00:00.000	2016-02-09 00:00:00.000	NULL	0	0	3	12383860001020160210	1	309101	NULL	NULL	NULL	NULL	NULL	0	2016-02-11 02:21:39.887	1	DND batch delivey
165095	19981	278482	NULL	155096	10018	NULL	NULL	201603	00	52.68	52.68	2016-03-10 00:00:00.000	NULL	2016-03-11 00:20:39.580	2016-03-28 00:00:00.000	2016-02-09 00:00:00.000	2016-03-09 00:00:00.000	NULL	0	0	3	12383860001020160310	1	309101	NULL	NULL	NULL	NULL	NULL	0	2016-03-11 02:41:25.930	1	DND batch delivey
177107	19981	301928	NULL	167108	10018	NULL	NULL	201604	00	32.76	32.76	2016-04-09 00:00:00.000	NULL	2016-04-11 00:25:15.000	2016-04-25 00:00:00.000	2016-03-09 00:00:00.000	2016-04-08 00:00:00.000	NULL	0	0	3	12383860001020160409	1	309101	NULL	NULL	NULL	NULL	NULL	0	2016-04-11 03:52:13.567	1	DND batch delivey
307997	19981	430115	NULL	297998	10018	NULL	NULL	201605	00	22.49	22.49	2016-05-10 00:00:00.000	NULL	2016-05-10 15:28:57.987	2016-05-26 00:00:00.000	2016-04-08 00:00:00.000	2016-05-09 00:00:00.000	430	0	0	3	12383860001020160510	1	309101	NULL	NULL	NULL	NULL	NULL	0	2016-05-11 03:41:01.687	1	DND batch delivey
432115	19981	541764	NULL	422116	10018	NULL	NULL	201606	00	7.71	7.71	2016-06-09 00:00:00.000	NULL	2016-06-09 06:38:25.007	2016-06-27 00:00:00.000	2016-05-09 00:00:00.000	2016-06-08 00:00:00.000	470	0	0	3	12383860001020160609	1	309101	NULL	NULL	NULL	NULL	NULL	0	2016-06-10 05:30:30.677	1	DND batch delivey
528239	19981	655496	NULL	518240	10018	NULL	NULL	201607	00	4.49	4.49	2016-07-09 00:00:00.000	NULL	2016-07-12 21:27:38.597	2016-07-25 00:00:00.000	2016-06-08 00:00:00.000	2016-07-08 00:00:00.000	NULL	0	0	3	12383860001020160709	1	309101	NULL	NULL	NULL	NULL	NULL	0	2016-07-12 16:59:17.757	1	DND batch delivey
588343	19981	764003	NULL	578481	10018	NULL	NULL	201608	00	4.49	4.49	2016-08-09 00:00:00.000	NULL	2016-08-09 11:45:07.350	2016-08-25 00:00:00.000	2016-07-08 00:00:00.000	2016-08-08 00:00:00.000	470	0	0	3	12383860001020160809	1	309101	NULL	NULL	NULL	NULL	NULL	0	2016-08-09 12:06:04.693	1	DND batch delivey
649121	19981	878116	NULL	639615	10018	NULL	NULL	201609	00	3.22	3.22	2016-09-08 00:00:00.000	NULL	2016-09-08 07:18:53.770	2016-09-26 00:00:00.000	2016-08-08 00:00:00.000	2016-09-07 00:00:00.000	470	0	0	3	12383860001020160908	1	309101	NULL	NULL	NULL	NULL	NULL	0	2016-09-08 07:45:53.690	1	DND batch delivey
709720	19981	998163	NULL	700411	10018	NULL	NULL	201610	00	4.49	4.49	2016-10-07 00:00:00.000	NULL	2016-10-10 00:35:49.413	2016-10-24 00:00:00.000	2016-09-07 00:00:00.000	2016-10-06 00:00:00.000	NULL	0	0	3	12383860001020161007	1	309101	NULL	NULL	NULL	NULL	NULL	0	2016-10-11 08:00:18.333	1	DND batch delivey
767016	19981	1110152	NULL	757707	10018	NULL	NULL	201611	00	9.64	9.64	2016-11-05 00:00:00.000	NULL	2016-11-07 02:41:12.187	2016-11-21 00:00:00.000	2016-10-06 00:00:00.000	2016-11-04 00:00:00.000	NULL	0	0	3	12383860001020161105	1	309101	NULL	NULL	NULL	NULL	NULL	0	2016-11-07 08:19:08.180	1	DND batch delivey
837882	19981	1236056	NULL	828574	10018	NULL	NULL	201612	00	33.41	33.41	2016-12-08 00:00:00.000	NULL	2016-12-09 01:28:40.543	2016-12-27 00:00:00.000	2016-11-04 00:00:00.000	2016-12-07 00:00:00.000	NULL	0	0	3	12383860001020161208	1	309101	NULL	NULL	NULL	NULL	NULL	0	2016-12-09 09:49:00.320	1	DND batch delivey
