InvoiceLog
InvLogID	BillingStarted	InvoiceDate	BasePeriod	DateFrom	DateTo	CustID	ReadCycle	ServiceCycle	BillCycle	CSPID	RevenuePeriod	InvCount	ErrCount	BillingStatus	BillingComment	RegChgs	BillingCompleted	Created
35459	2015-03-11 23:46:44.367	2015-03-11 00:00:00	201503	NULL	NULL	19981	NULL	NULL	NULL	1	201503	NULL	NULL	Billing Started	NULL	NULL	NULL	2015-03-12 04:46:44.367
42451	2015-04-11 01:05:34.837	2015-04-13 00:00:00	201504	NULL	NULL	19981	NULL	NULL	NULL	1	201504	NULL	NULL	Billing Started	NULL	NULL	NULL	2015-04-11 06:05:34.837
49780	2015-05-11 01:02:54.627	2015-05-11 00:00:00	201505	NULL	NULL	19981	NULL	NULL	NULL	1	201505	NULL	NULL	Billing Started	NULL	NULL	NULL	2015-05-11 06:02:54.627
57587	2015-06-10 08:28:04.420	2015-06-10 00:00:00	201506	NULL	NULL	19981	NULL	NULL	NULL	1	201506	NULL	NULL	Billing Started	NULL	NULL	NULL	2015-06-10 13:28:04.420
66146	2015-07-13 01:08:15.837	2015-07-13 00:00:00	201507	NULL	NULL	19981	NULL	NULL	NULL	1	201507	NULL	NULL	Billing Started	NULL	NULL	NULL	2015-07-13 06:08:15.837
74689	2015-08-10 01:08:29.547	2015-08-10 00:00:00	201508	NULL	NULL	19981	NULL	NULL	NULL	1	201508	NULL	NULL	Billing Started	NULL	NULL	NULL	2015-08-10 06:08:29.547
84289	2015-09-10 01:03:57.037	2015-09-10 00:00:00	201509	NULL	NULL	19981	NULL	NULL	NULL	1	201509	NULL	NULL	Billing Started	NULL	NULL	NULL	2015-09-10 06:03:57.037
94276	2015-10-09 01:04:10.587	2015-10-09 00:00:00	201510	NULL	NULL	19981	NULL	NULL	NULL	1	201510	NULL	NULL	Billing Started	NULL	NULL	NULL	2015-10-09 06:04:10.587
104083	2015-11-06 01:04:47.650	2015-11-06 00:00:00	201511	NULL	NULL	19981	NULL	NULL	NULL	1	201511	NULL	NULL	Billing Started	NULL	NULL	NULL	2015-11-06 07:04:47.650
117599	2015-12-10 09:41:33.413	2015-12-10 00:00:00	201512	NULL	NULL	19981	NULL	NULL	NULL	1	201512	NULL	NULL	Billing Started	NULL	NULL	NULL	2015-12-10 15:41:33.413
128436	2016-01-13 00:10:31.037	2016-01-13 00:00:00	201601	NULL	NULL	19981	NULL	NULL	NULL	1	201601	NULL	NULL	Billing Started	NULL	NULL	NULL	2016-01-13 06:10:31.037
143141	2016-02-11 00:10:56.983	2016-02-11 00:00:00	201602	NULL	NULL	19981	NULL	NULL	NULL	1	201602	NULL	NULL	Billing Started	NULL	NULL	NULL	2016-02-11 06:10:56.983
155096	2016-03-11 00:20:39.487	2016-03-11 00:00:00	201603	NULL	NULL	19981	NULL	NULL	NULL	1	201603	NULL	NULL	Billing Started	NULL	NULL	NULL	2016-03-11 06:20:39.487
167108	2016-04-11 00:25:14.980	2016-04-11 00:00:00	201604	NULL	NULL	19981	NULL	NULL	NULL	1	201604	NULL	NULL	Billing Started	NULL	NULL	NULL	2016-04-11 05:25:14.980
297998	2016-05-10 15:28:57.957	2016-05-10 00:00:00	201605	NULL	NULL	19981	NULL	NULL	NULL	1	201605	NULL	NULL	Billing Started	NULL	NULL	NULL	2016-05-10 20:28:57.957
422116	2016-06-09 06:38:24.987	2016-06-09 00:00:00	201606	NULL	NULL	19981	NULL	NULL	NULL	1	201606	NULL	NULL	Billing Started	NULL	NULL	NULL	2016-06-09 11:38:24.987
518240	2016-07-12 21:27:38.580	2016-07-12 00:00:00	201607	NULL	NULL	19981	NULL	NULL	NULL	1	201607	NULL	NULL	Billing Started	NULL	NULL	NULL	2016-07-12 21:27:38.580
578481	2016-08-09 11:45:07.320	2016-08-09 00:00:00	201608	NULL	NULL	19981	NULL	NULL	NULL	1	201608	NULL	NULL	Billing Started	NULL	NULL	NULL	2016-08-09 11:45:07.307
639615	2016-09-08 07:18:53.753	2016-09-08 00:00:00	201609	NULL	NULL	19981	NULL	NULL	NULL	1	201609	NULL	NULL	Billing Started	NULL	NULL	NULL	2016-09-08 12:18:53.750
700411	2016-10-10 00:35:49.380	2016-10-10 00:00:00	201610	NULL	NULL	19981	NULL	NULL	NULL	1	201610	NULL	NULL	Billing Started	NULL	NULL	NULL	2016-10-10 05:35:49.393
757707	2016-11-07 02:41:12.160	2016-11-07 00:00:00	201611	NULL	NULL	19981	NULL	NULL	NULL	1	201611	NULL	NULL	Billing Started	NULL	NULL	NULL	2016-11-07 08:41:12.160
828574	2016-12-09 01:28:40.517	2016-12-09 00:00:00	201612	NULL	NULL	19981	NULL	NULL	NULL	1	201612	NULL	NULL	Billing Started	NULL	NULL	NULL	2016-12-09 07:28:40.517
891569	2017-01-12 01:33:13.150	2017-01-12 00:00:00	201701	NULL	NULL	19981	NULL	NULL	NULL	1	201701	NULL	NULL	Billing Started	NULL	NULL	NULL	2017-01-12 07:33:13.150
952826	2017-02-10 01:16:08.873	2017-02-10 00:00:00	201702	NULL	NULL	19981	NULL	NULL	NULL	1	201702	NULL	NULL	Billing Started	NULL	NULL	NULL	2017-02-10 07:16:08.873
1023111	2017-03-13 01:24:23.737	2017-03-13 00:00:00	201703	NULL	NULL	19981	NULL	NULL	NULL	1	201703	NULL	NULL	Billing Started	NULL	NULL	NULL	2017-03-13 06:24:23.737
1086563	2017-04-10 01:58:26.960	2017-04-10 00:00:00	201704	NULL	NULL	19981	NULL	NULL	NULL	1	201704	NULL	NULL	Billing Started	NULL	NULL	NULL	2017-04-10 06:58:26.960
1157848	2017-05-11 01:12:20.493	2017-05-11 00:00:00	201705	NULL	NULL	19981	NULL	NULL	NULL	1	201705	NULL	NULL	Billing Started	NULL	NULL	NULL	2017-05-11 06:12:20.493
1232734	2017-06-12 01:49:41.023	2017-06-12 00:00:00	201706	NULL	NULL	19981	NULL	NULL	NULL	1	201706	NULL	NULL	Billing Started	NULL	NULL	NULL	2017-06-12 06:49:41.023
1299628	2017-07-12 00:25:32.503	2017-07-12 00:00:00	201707	NULL	NULL	19981	NULL	NULL	NULL	1	201707	NULL	NULL	Billing Started	NULL	NULL	NULL	2017-07-12 05:25:32.503
1375833	2017-08-09 05:05:20.177	2017-08-09 00:00:00	201708	NULL	NULL	19981	NULL	NULL	NULL	1	201708	NULL	NULL	Billing Started	NULL	NULL	NULL	2017-08-09 10:05:20.177
1455332	2017-09-11 01:32:27.377	2017-09-11 00:00:00	201709	NULL	NULL	19981	NULL	NULL	NULL	1	201709	NULL	NULL	Billing Started	NULL	NULL	NULL	2017-09-11 06:32:27.377
1519968	2017-10-09 01:36:10.863	2017-10-09 00:00:00	201710	NULL	NULL	19981	NULL	NULL	NULL	1	201710	NULL	NULL	Billing Started	NULL	NULL	NULL	2017-10-09 06:36:10.863
1595470	2017-11-08 01:16:46.193	2017-11-08 00:00:00	201711	NULL	NULL	19981	NULL	NULL	NULL	1	201711	NULL	NULL	Billing Started	NULL	NULL	NULL	2017-11-08 07:16:46.193
1670762	2017-12-11 01:29:59.347	2017-12-11 00:00:00	201712	NULL	NULL	19981	NULL	NULL	NULL	1	201712	NULL	NULL	Billing Started	NULL	NULL	NULL	2017-12-11 07:29:59.347
