InvoiceXml
InvoiceXMLID	InvoiceID	InvoiceXML	CreateDate	PrintFormatID	PrintStatusID	PhysicalFile	PDFContent	HasPDF	MachineName
#26771	45458	NoNeedToCopyForThisCase	2015-03-11 23:46:44.813	5003	5	NULL	NULL	0	NULL
#33450	52450	NoNeedToCopyForThisCase	2015-04-11 01:05:35.413	5003	5	NULL	NULL	0	NULL
#40730	59779	NoNeedToCopyForThisCase	2015-05-11 01:02:54.773	5003	5	NULL	NULL	0	NULL
#48517	67586	NoNeedToCopyForThisCase	2015-06-10 08:28:04.930	5003	5	NULL	NULL	0	NULL
#57076	76145	NoNeedToCopyForThisCase	2015-07-13 01:08:16.447	5003	5	NULL	NULL	0	NULL
#65614	84688	NoNeedToCopyForThisCase	2015-08-10 01:08:30.533	5003	5	NULL	NULL	0	NULL
#75183	94288	NoNeedToCopyForThisCase	2015-09-10 01:03:57.580	5003	5	NULL	NULL	0	NULL
#85114	104275	NoNeedToCopyForThisCase	2015-10-09 01:04:11.187	5003	5	NULL	NULL	0	NULL
#94864	114082	NoNeedToCopyForThisCase	2015-11-06 01:04:47.820	5003	5	NULL	NULL	0	NULL
#105321	127598	NoNeedToCopyForThisCase	2015-12-10 09:41:33.700	5003	5	NULL	NULL	0	NULL
#116098	138435	NoNeedToCopyForThisCase	2016-01-13 00:10:31.273	5003	5	NULL	NULL	0	NULL
#127665	153140	NoNeedToCopyForThisCase	2016-02-11 00:10:58.170	5003	5	NULL	NULL	0	NULL
#139532	165095	NoNeedToCopyForThisCase	2016-03-11 00:20:40.550	5003	5	NULL	NULL	0	NULL
#151390	177107	NoNeedToCopyForThisCase	2016-04-11 00:25:15.523	5003	5	NULL	NULL	0	NULL
#215260	307997	NoNeedToCopyForThisCase	2016-05-10 15:28:58.173	5003	5	NULL	NULL	0	NULL
#270915	432115	NoNeedToCopyForThisCase	2016-06-09 06:38:25.160	5003	5	NULL	NULL	0	NULL
#326502	528239	NoNeedToCopyForThisCase	2016-07-12 21:27:38.713	5003	5	NULL	NULL	0	NULL
#382097	588343	NoNeedToCopyForThisCase	2016-08-09 11:45:07.463	5003	5	NULL	NULL	0	NULL
#439578	649121	NoNeedToCopyForThisCase	2016-09-08 07:18:53.933	5003	5	NULL	NULL	0	NULL
#498728	709720	NoNeedToCopyForThisCase	2016-10-10 00:35:49.633	5003	5	NULL	NULL	0	NULL
#554559	767016	NoNeedToCopyForThisCase	2016-11-07 02:41:12.783	5003	5	NULL	NULL	0	NULL
#617829	837882	NoNeedToCopyForThisCase	2016-12-09 01:28:41.160	5003	5	NULL	NULL	0	NULL
#679734	900869	NoNeedToCopyForThisCase	2017-01-12 01:33:13.813	5003	5	NULL	NULL	0	NULL
#739565	962126	NoNeedToCopyForThisCase	2017-02-10 01:16:09.587	5003	5	NULL	NULL	0	NULL
#808148	1032411	NoNeedToCopyForThisCase	2017-03-13 01:24:25.380	5003	5	NULL	NULL	0	NULL
#869387	1095863	NoNeedToCopyForThisCase	2017-04-10 01:58:27.927	5003	5	NULL	NULL	0	NULL
#935041	1167148	NoNeedToCopyForThisCase	2017-05-11 01:12:22.100	5003	5	NULL	NULL	0	NULL
#999483	1242034	NoNeedToCopyForThisCase	2017-06-12 01:49:42.260	5003	5	NULL	NULL	0	NULL
#1062029	1308928	NoNeedToCopyForThisCase	2017-07-12 00:25:34.127	5003	5	NULL	NULL	0	NULL
#1125924	1385133	NoNeedToCopyForThisCase	2017-08-09 05:05:20.990	5003	5	NULL	NULL	0	NULL
#1190578	1464632	NoNeedToCopyForThisCase	2017-09-11 01:32:28.107	5003	5	NULL	NULL	0	NULL
#1250102	1529268	NoNeedToCopyForThisCase	2017-10-09 01:36:11.500	5003	5	NULL	NULL	0	NULL
#1319565	1604770	NoNeedToCopyForThisCase	2017-11-08 01:16:46.967	5003	5	NULL	NULL	0	NULL
#1386465	1680062	NoNeedToCopyForThisCase	2017-12-11 01:30:00.000	5003	5	NULL	NULL	0	NULL
