AccountsReceivableHistory
AcctsRecHistID	CustID	ResetDate	ARDate	ArchiveCode	PrevBal	CurrInvs	CurrPmts	CurrAdjs	BalDue	LateFee	AuthorizedPymt	PastDue	BalAge1	BalAge2	BalAge3	BalAge4	BalAge5	BalAge6	BalAge0
#50852	19981	NULL	2015-03-11 23:46:44.467	Inv  	0.00	72.60	0.00	0.00	72.60	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	72.60
#51788	19981	NULL	2015-03-12 19:09:16.533	Pmt  	72.60	0.00	72.60	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#64259	19981	NULL	2015-04-11 01:05:35.000	Inv  	72.60	38.55	72.60	0.00	38.55	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	38.55
#64514	19981	NULL	2015-04-11 19:06:24.500	Pmt  	38.55	0.00	38.55	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#78760	19981	NULL	2015-05-11 01:02:54.723	Inv  	38.55	16.07	38.55	0.00	16.07	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	16.07
#79112	19981	NULL	2015-05-11 19:08:01.550	Pmt  	16.07	0.00	16.07	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#93988	19981	NULL	2015-06-10 08:28:04.537	Inv  	16.07	7.71	16.07	0.00	7.71	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	7.71
#94731	19981	NULL	2015-06-10 19:03:59.787	Pmt  	7.71	0.00	7.71	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#111226	19981	NULL	2015-07-13 01:08:16.010	Inv  	7.71	3.22	7.71	0.00	3.22	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	3.22
#112001	19981	NULL	2015-07-13 19:12:16.767	Pmt  	3.22	0.00	3.22	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#128206	19981	NULL	2015-08-10 01:08:29.893	Inv  	3.22	3.85	3.22	0.00	3.85	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	3.85
#128978	19981	NULL	2015-08-10 19:07:33.363	Pmt  	3.85	0.00	3.85	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#147511	19981	NULL	2015-09-10 01:03:57.460	Inv  	3.85	3.22	3.85	0.00	3.22	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	3.22
#147906	19981	NULL	2015-09-10 19:15:55.260	Pmt  	3.22	0.00	3.22	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#167107	19981	NULL	2015-10-09 01:04:10.717	Inv  	3.22	5.14	3.22	0.00	5.14	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	5.14
#167554	19981	NULL	2015-10-09 19:24:07.083	Pmt  	5.14	0.00	5.14	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#186175	19981	NULL	2015-11-06 01:04:47.753	Inv  	5.14	12.85	5.14	0.00	12.85	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	12.85
#187125	19981	NULL	2015-11-06 19:20:45.340	Pmt  	12.85	0.00	12.85	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#210133	19981	NULL	2015-12-10 09:41:33.627	Inv  	12.85	33.41	12.85	0.00	33.41	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	33.41
#211122	19981	NULL	2015-12-10 19:26:11.057	Pmt  	33.41	0.00	33.41	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#231904	19981	NULL	2016-01-13 00:10:31.170	Inv  	33.41	47.54	33.41	0.00	47.54	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	47.54
#232428	19981	NULL	2016-01-13 19:01:37.113	Pmt  	47.54	0.00	47.54	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#255023	19981	NULL	2016-02-11 00:10:57.657	Inv  	47.54	57.17	47.54	0.00	57.17	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	57.17
#255583	19981	NULL	2016-02-11 19:01:46.070	Pmt  	57.17	0.00	57.17	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#278482	19981	NULL	2016-03-11 00:20:40.090	Inv  	57.17	52.68	57.17	0.00	52.68	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	52.68
#279291	19981	NULL	2016-03-11 14:36:57.333	Pmt  	52.68	0.00	52.68	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#301928	19981	NULL	2016-04-11 00:25:15.320	Inv  	52.68	32.76	52.68	0.00	32.76	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	32.76
#303165	19981	NULL	2016-04-11 19:02:49.520	Pmt  	32.76	0.00	32.76	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#430115	19981	NULL	2016-05-10 15:28:58.107	Inv  	32.76	22.49	32.76	0.00	22.49	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	22.49
#432400	19981	NULL	2016-05-10 19:01:33.133	Pmt  	22.49	0.00	22.49	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#541764	19981	NULL	2016-06-09 06:38:25.117	Inv  	22.49	7.71	22.49	0.00	7.71	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	7.71
#544338	19981	NULL	2016-06-09 16:25:47.440	Pmt  	7.71	0.00	7.71	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#647477	19981	NULL	2016-07-11 15:15:50.687	Pmt  	0.00	0.00	4.49	0.00	-4.49	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#655496	19981	NULL	2016-07-12 21:27:38.677	Inv  	7.71	4.49	12.20	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#764003	19981	NULL	2016-08-09 11:45:07.417	Inv  	0.00	4.49	0.00	0.00	4.49	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	4.49
#766514	19981	NULL	2016-08-09 12:20:30.753	Pmt  	4.49	0.00	4.49	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#878116	19981	NULL	2016-09-08 07:18:53.867	Inv  	4.49	3.22	4.49	0.00	3.22	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	3.22
#880412	19981	NULL	2016-09-08 08:25:56.447	Pmt  	3.22	0.00	3.22	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#994913	19981	NULL	2016-10-07 08:46:15.300	Pmt  	0.00	0.00	4.49	0.00	-4.49	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#998163	19981	NULL	2016-10-10 00:35:49.543	Inv  	3.22	4.49	7.71	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#1110152	19981	NULL	2016-11-07 02:41:12.510	Inv  	0.00	9.64	0.00	0.00	9.64	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	9.64
#1116992	19981	NULL	2016-11-07 10:39:00.250	Pmt  	9.64	0.00	9.64	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#1232785	19981	NULL	2016-12-08 09:50:06.513	Pmt  	0.00	0.00	33.41	0.00	-33.41	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#1236056	19981	NULL	2016-12-09 01:28:41.070	Inv  	9.64	33.41	43.05	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#1356657	19981	NULL	2017-01-11 11:04:48.440	Pmt  	0.00	0.00	70.67	0.00	-70.67	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#1359805	19981	NULL	2017-01-12 01:33:13.593	Inv  	0.00	70.67	70.67	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#1475691	19981	NULL	2017-02-09 10:35:38.497	Pmt  	0.00	0.00	38.70	0.00	-38.70	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
#1479269	19981	NULL	2017-02-10 01:16:09.367	Inv  	0.00	38.70	38.70	0.00	0.00	0.00	0.00	N	0.00	0.00	0.00	0.00	0.00	0.00	0.00
